Var1,group1,group2,specimen,subgroup2,group3,subgroup1,group_position,vcount,ecount,tract_count,suffix,file,label_lookup_path,label_path,stat_path,stat_path_erode,scale,total_brain_vol_withoutVS
29,Tg,DSI-Studio-v20240814,N59134NLSAM,BXD77,old,M,2,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N59134NLSAM\nii4D_N59134NLSAM.src.gz.gqi.0.9.tt.gz.N59134NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN59134NLSAMdsi_studio\labels\RCCF\N59134NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N59134NLSAM_RCCF_erode1_stats_with_ontology.csv,2.79670834541321,486.6272
30,Tg,DSI-Studio-v20240814,N60076NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60076NLSAM\nii4D_N60076NLSAM.src.gz.gqi.0.9.tt.gz.N60076NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60076NLSAMdsi_studio\labels\RCCF\N60076NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60076NLSAM_RCCF_erode1_stats_with_ontology.csv,2.83194541931152,492.7585
31,Tg,DSI-Studio-v20240814,N60145NLSAM,BXD77,old,M,4,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60145NLSAM\nii4D_N60145NLSAM.src.gz.gqi.0.9.tt.gz.N60145NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60145NLSAMdsi_studio\labels\RCCF\N60145NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60145NLSAM_RCCF_erode1_stats_with_ontology.csv,2.67218899726868,464.9609
32,Tg,DSI-Studio-v20240814,N60149NLSAM,BXD77,old,F,5,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60149NLSAM\nii4D_N60149NLSAM.src.gz.gqi.0.9.tt.gz.N60149NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60149NLSAMdsi_studio\labels\RCCF\N60149NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60149NLSAM_RCCF_erode1_stats_with_ontology.csv,2.73984527587891,476.7331
33,Tg,DSI-Studio-v20240814,N60151NLSAM,BXD77,old,M,6,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60151NLSAM\nii4D_N60151NLSAM.src.gz.gqi.0.9.tt.gz.N60151NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60151NLSAMdsi_studio\labels\RCCF\N60151NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60151NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69557785987854,469.0305
34,Tg,DSI-Studio-v20240814,N60153NLSAM,BXD77,old,F,7,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60153NLSAM\nii4D_N60153NLSAM.src.gz.gqi.0.9.tt.gz.N60153NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60153NLSAMdsi_studio\labels\RCCF\N60153NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60153NLSAM_RCCF_erode1_stats_with_ontology.csv,2.77009224891663,481.9961
23,nTg,DSI-Studio-v20240814,N60155NLSAM,BXD77,old,F,3,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60155NLSAM\nii4D_N60155NLSAM.src.gz.gqi.0.9.tt.gz.N60155NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60155NLSAMdsi_studio\labels\RCCF\N60155NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60155NLSAM_RCCF_erode1_stats_with_ontology.csv,2.69708895683289,469.2935
24,nTg,DSI-Studio-v20240814,N60165NLSAM,BXD77,old,M,4,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60165NLSAM\nii4D_N60165NLSAM.src.gz.gqi.0.9.tt.gz.N60165NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60165NLSAMdsi_studio\labels\RCCF\N60165NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60165NLSAMdsi_studio\labels\RCCF\N60165NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60165NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60165NLSAM_RCCF_erode1_stats_with_ontology.csv,2.74735021591187,478.0389
25,nTg,DSI-Studio-v20240814,N60171NLSAM,BXD77,old,M,5,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60171NLSAM\nii4D_N60171NLSAM.src.gz.gqi.0.9.tt.gz.N60171NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60171NLSAMdsi_studio\labels\RCCF\N60171NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60171NLSAMdsi_studio\labels\RCCF\N60171NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60171NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60171NLSAM_RCCF_erode1_stats_with_ontology.csv,2.7224223613739,473.7015
26,nTg,DSI-Studio-v20240814,N60206NLSAM,BXD77,old,M,6,360,129600,2000000,RCCF,B:\ProjectSpace\vc144\20.5xfad.01\N60206NLSAM\nii4D_N60206NLSAM.src.gz.gqi.0.9.tt.gz.N60206NLSAM_RCCF_labels.count.pass.connectivity.mat,A:\20.5xfad.01\research\connectomeN60206NLSAMdsi_studio\labels\RCCF\N60206NLSAM_RCCF_labels_lookup.txt,A:\20.5xfad.01\research\connectomeN60206NLSAMdsi_studio\labels\RCCF\N60206NLSAM_RCCF_labels.nii.gz,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60206NLSAM_RCCF_stats_with_ontology.csv,\\pwp-civm-biggus.dhe.duke.edu\data\20.5xfad.01\polished_individual_stats\N60206NLSAM_RCCF_erode1_stats_with_ontology.csv,2.75439882278442,479.2654
